,name,version,description,keywords,dependencies,devDependencies,communityInterest,downloadsCount,downloadsAcceleration,dependentsCount,quality,popularity,maintenance,maintainers
104,oauth-sign,0.9.0,"OAuth 1 signing. Formerly a vendor lib in mikeal/request, now a standalone module.",,,,106,98961615.33333333,250343.56160578388,192,0.6749056487488316,0.5697442306331347,0.16666532842581852,"['31', '126', '127']"
105,performance-now,2.1.0,Implements performance.now (based on process.hrtime).,,,"{'bluebird': '^3.4.7', 'call-delayed': '^1.0.0', 'chai': '^3.5.0', 'chai-increasing': '^1.2.0', 'coffee-script': '~1.12.2', 'mocha': '~3.2.0', 'pre-commit': '^1.2.2'}",18,85021462.0,251610.31071156764,437,0.1989849939146585,0.5645477127207398,0.0,['165']
106,tough-cookie,4.0.0,RFC6265 Cookies and Cookie Jar for node.js,"['HTTP', 'cookie', 'cookies', 'set-cookie', 'cookiejar', 'jar', 'RFC6265', 'RFC2965']","{'psl': '^1.1.33', 'punycode': '^2.1.1', 'universalify': '^0.1.2'}","{'async': '^2.6.2', 'eslint': '^5.16.0', 'eslint-config-prettier': '^4.2.0', 'eslint-plugin-prettier': '^3.0.1', 'genversion': '^2.1.0', 'nyc': '^14.0.0', 'prettier': '^1.17.0', 'vows': '^0.8.2'}",875,156365768.33333334,525379.9671042617,925,0.9563034204213344,0.6898251290960715,0.999894531306083,"['166', '167', '168']"
107,psl,1.8.0,Domain name parser based on the Public Suffix List,"['publicsuffix', 'publicsuffixlist']",,"{'JSONStream': '^1.3.5', 'browserify': '^16.5.0', 'commit-and-pr': '^1.0.4', 'eslint': '^6.8.0', 'eslint-config-hapi': '^12.0.0', 'eslint-plugin-hapi': '^4.1.0', 'karma': '^4.4.1', 'karma-browserify': '^7.0.0', 'karma-mocha': '^1.3.0', 'karma-mocha-reporter': '^2.2.5', 'karma-phantomjs-launcher': '^1.0.4', 'mocha': '^7.1.1', 'phantomjs-prebuilt': '^2.1.16', 'request': '^2.88.2', 'uglify-js': '^3.8.0', 'watchify': '^3.11.1'}",288,99073791.66666667,274214.9529299849,146,0.9332214989336411,0.5854857184099833,0.4160221721647134,['169']
108,universalify,2.0.0,Make a callback- or promise-based function support both promises and callbacks.,"['callback', 'native', 'promise']",,"{'colortape': '^0.1.2', 'coveralls': '^3.0.1', 'nyc': '^15.0.0', 'standard': '^14.3.1', 'tape': '^5.0.1'}",104,120324464.33333333,659400.637043379,150,0.989472659492533,0.5735322902474717,0.999894531306083,['170']
109,tunnel-agent,0.6.0,"HTTP proxy tunneling agent. Formerly part of mikeal/request, now a standalone module.",,{'safe-buffer': '^5.0.1'},,222,85935653.0,255493.8148782344,246,0.395716488373833,0.5898554940229885,0.1383083798947162,"['31', '126', '125', '127']"
110,uuid,8.3.2,"RFC4122 (v1, v4, and v5) UUIDs","['uuid', 'guid', 'rfc4122']",,"{'@babel/cli': '7.11.6', '@babel/core': '7.11.6', '@babel/preset-env': '7.11.5', '@commitlint/cli': '11.0.0', '@commitlint/config-conventional': '11.0.0', '@rollup/plugin-node-resolve': '9.0.0', 'babel-eslint': '10.1.0', 'bundlewatch': '0.3.1', 'eslint': '7.10.0', 'eslint-config-prettier': '6.12.0', 'eslint-config-standard': '14.1.1', 'eslint-plugin-import': '2.22.1', 'eslint-plugin-node': '11.1.0', 'eslint-plugin-prettier': '3.1.4', 'eslint-plugin-promise': '4.2.1', 'eslint-plugin-standard': '4.0.1', 'husky': '4.3.0', 'jest': '25.5.4', 'lint-staged': '10.4.0', 'npm-run-all': '4.1.5', 'optional-dev-dependency': '2.0.1', 'prettier': '2.1.2', 'random-seed': '0.3.0', 'rollup': '2.28.2', 'rollup-plugin-terser': '7.0.2', 'runmd': '1.3.2', 'standard-version': '9.0.0'}",11936,189260313.66666666,757490.8933028921,19604,0.8800019535154213,0.9127906024560217,0.9768316180993946,"['171', '123', '172', '120']"
111,commander,7.2.0,the complete solution for node.js command-line programs,"['commander', 'command', 'option', 'parser', 'cli', 'argument', 'args', 'argv']",,"{'@types/jest': '^26.0.20', '@types/node': '^14.14.20', '@typescript-eslint/eslint-plugin': '^4.12.0', '@typescript-eslint/parser': '^4.12.0', 'eslint': '^7.17.0', 'eslint-config-standard': '^16.0.2', 'eslint-plugin-jest': '^24.1.3', 'jest': '^26.6.3', 'standard': '^16.0.3', 'ts-jest': '^26.5.1', 'tsd': '^0.14.0', 'typescript': '^4.1.2'}",22777,232739759.33333334,692155.4430365297,46006,0.9616791488638115,0.9544743970806742,0.9999539415004948,"['173', '174', '34', '175', '176', '177']"
112,moment,2.29.1,"Parse, validate, manipulate, and display dates","['moment', 'date', 'time', 'parse', 'format', 'validate', 'i18n', 'l10n', 'ender']",,"{'benchmark': 'latest', 'coveralls': 'latest', 'cross-env': '^6.0.3', 'es6-promise': 'latest', 'eslint': '~6', 'grunt': 'latest', 'grunt-benchmark': 'latest', 'grunt-cli': 'latest', 'grunt-contrib-clean': 'latest', 'grunt-contrib-concat': 'latest', 'grunt-contrib-copy': 'latest', 'grunt-contrib-uglify': 'latest', 'grunt-contrib-watch': 'latest', 'grunt-env': 'latest', 'grunt-exec': 'latest', 'grunt-karma': 'latest', 'grunt-nuget': 'latest', 'grunt-string-replace': 'latest', 'karma': 'latest', 'karma-chrome-launcher': 'latest', 'karma-firefox-launcher': 'latest', 'karma-qunit': 'latest', 'karma-sauce-launcher': '4.1.4', 'load-grunt-tasks': 'latest', 'lodash': '>=4.17.19', 'node-qunit': 'latest', 'nyc': 'latest', 'prettier': 'latest', 'qunit': '^2.10.0', 'rollup': '2.17.1', 'typescript': '^1.8.10', 'typescript3': 'npm:typescript@^3.1.6', 'uglify-js': 'latest'}",54427,72876354.66666667,207710.55313926947,31067,0.9976082318476197,0.9505469658454319,0.783758562127655,"['178', '179', '180', '181', '182']"
113,react-dom,17.0.2,React package for working with the DOM.,['react'],"{'loose-envify': '^1.1.0', 'object-assign': '^4.1.1', 'scheduler': '^0.20.2'}",,207252,39344083.666666664,87997.34621385089,34501,0.9003979043794126,0.9324915287361679,0.9727407588873984,"['3', '4', '183', '5', '6', '7', '8', '9', '10']"
114,scheduler,0.20.2,Cooperative scheduler for the browser environment.,['react'],"{'loose-envify': '^1.1.0', 'object-assign': '^4.1.1'}",,206761,43751262.333333336,77800.18101217656,200,0.7912647005035895,0.7524799586370892,0.9726070801143517,"['3', '4', '5', '6', '7', '8', '9', '10']"
115,react,17.0.2,React is a JavaScript library for building user interfaces.,['react'],"{'loose-envify': '^1.1.0', 'object-assign': '^4.1.1'}",,207801,43274073.0,99509.20331050229,49667,0.9003979043794126,0.9420793497458628,0.9727407588873984,"['3', '4', '5', '6', '7', '8', '9', '10']"
116,prop-types,15.7.2,Runtime type checking for React props and similar objects.,['react'],"{'loose-envify': '^1.4.0', 'object-assign': '^4.1.1', 'react-is': '^16.8.1'}","{'babel-jest': '^19.0.0', 'babel-preset-react': '^6.24.1', 'browserify': '^16.2.3', 'bundle-collapser': '^1.2.1', 'eslint': '^5.13.0', 'jest': '^19.0.2', 'react': '^15.5.1', 'uglifyify': '^3.0.4', 'uglifyjs': '^2.4.10'}",4391,39490127.333333336,91315.88451293757,30303,0.9336506340247103,0.8202255293240812,0.24104803539877434,"['4', '5', '6', '110', '7', '9']"
117,react-is,17.0.2,Brand checking of React Elements.,['react'],,,207006,85488562.66666667,321338.1713280061,768,0.9003979043794126,0.8395956133711391,0.9727473603130006,"['3', '4', '5', '6', '7', '8', '9', '10']"
118,fs-extra,9.1.0,"fs-extra contains methods that aren't included in the vanilla Node.js fs package. Such as recursive mkdir, copy, and remove.","['fs', 'file', 'file system', 'copy', 'directory', 'extra', 'mkdirp', 'mkdir', 'mkdirs', 'recursive', 'json', 'read', 'write', 'extra', 'delete', 'remove', 'touch', 'create', 'text', 'output', 'move', 'promise']","{'at-least-node': '^1.0.0', 'graceful-fs': '^4.2.0', 'jsonfile': '^6.0.1', 'universalify': '^2.0.0'}","{'coveralls': '^3.0.0', 'klaw': '^2.1.1', 'klaw-sync': '^3.0.2', 'minimist': '^1.1.1', 'mocha': '^5.0.5', 'nyc': '^15.0.0', 'proxyquire': '^2.0.1', 'read-dir-files': '^0.1.1', 'standard': '^14.1.0'}",8781,155927340.66666666,504259.5405821919,33953,0.9961363756061857,0.9082916572750193,0.8446634690219583,"['184', '170', '185']"
119,at-least-node,1.0.0,Lightweight Node.js version sniffing/comparison,"['semver', 'feature']",,"{'ava': '^3.1.0', 'rewire': '^4.0.1', 'semver': '^7.1.2'}",5,30885064.0,240189.54998097412,34,0.8063986209419247,0.452957537320098,0.9999405727453268,['170']
120,graceful-fs,4.2.6,"A drop-in replacement for fs, making various improvements.","['fs', 'module', 'reading', 'retry', 'retries', 'queue', 'error', 'errors', 'handling', 'EMFILE', 'EAGAIN', 'EINVAL', 'EPERM', 'EACCESS']",,"{'import-fresh': '^2.0.0', 'mkdirp': '^0.5.0', 'rimraf': '^2.2.8', 'tap': '^12.7.0'}",1314,144774762.66666666,371432.8694824963,1900,0.8321119442909228,0.7291197718082603,0.6651339866843845,['104']
121,jsonfile,6.1.0,Easily read/write JSON files.,"['read', 'write', 'file', 'json', 'fs', 'fs-extra']","{'universalify': '^2.0.0', 'graceful-fs': '^4.1.6'}","{'mocha': '^8.2.0', 'rimraf': '^2.4.0', 'standard': '^16.0.1'}",1377,101123113.0,402797.9644596651,1987,0.9783863377025781,0.7273887013292155,0.999894531306083,"['184', '170']"
122,vue,2.6.12,"Reactive, component-oriented view layer for modern web interfaces.",['vue'],,"{'@babel/core': '^7.0.0', '@babel/plugin-proposal-class-properties': '^7.1.0', '@babel/plugin-syntax-dynamic-import': '^7.0.0', '@babel/plugin-syntax-jsx': '^7.0.0', '@babel/plugin-transform-flow-strip-types': '^7.0.0', '@babel/preset-env': '^7.0.0', '@babel/register': '^7.0.0', '@types/node': '^12.12.0', '@types/webpack': '^4.4.22', 'acorn': '^5.2.1', 'babel-eslint': '^10.0.1', 'babel-helper-vue-jsx-merge-props': '^2.0.3', 'babel-loader': '^8.0.4', 'babel-plugin-istanbul': '^5.1.0', 'babel-plugin-transform-vue-jsx': '^4.0.1', 'babel-preset-flow-vue': '^1.0.0', 'buble': '^0.19.3', 'chalk': '^2.3.0', 'chromedriver': '^2.45.0', 'codecov': '^3.0.0', 'commitizen': '^2.9.6', 'conventional-changelog': '^1.1.3', 'cross-spawn': '^6.0.5', 'cz-conventional-changelog': '^2.0.0', 'de-indent': '^1.0.2', 'es6-promise': '^4.1.0', 'escodegen': '^1.8.1', 'eslint': '^5.7.0', 'eslint-plugin-flowtype': '^2.34.0', 'eslint-plugin-jasmine': '^2.8.4', 'file-loader': '^3.0.1', 'flow-bin': '^0.61.0', 'hash-sum': '^1.0.2', 'he': '^1.1.1', 'http-server': '^0.11.1', 'jasmine': '^2.99.0', 'jasmine-core': '^2.99.0', 'karma': '^3.1.1', 'karma-chrome-launcher': '^2.1.1', 'karma-coverage': '^1.1.1', 'karma-firefox-launcher': '^1.0.1', 'karma-jasmine': '^1.1.0', 'karma-mocha-reporter': '^2.2.3', 'karma-phantomjs-launcher': '^1.0.4', 'karma-safari-launcher': '^1.0.0', 'karma-sauce-launcher': '^2.0.2', 'karma-sourcemap-loader': '^0.3.7', 'karma-webpack': '^4.0.0-rc.2', 'lint-staged': '^8.0.0', 'lodash': '^4.17.4', 'lodash.template': '^4.4.0', 'lodash.uniq': '^4.5.0', 'lru-cache': '^5.1.1', 'nightwatch': '^0.9.16', 'nightwatch-helpers': '^1.2.0', 'phantomjs-prebuilt': '^2.1.14', 'puppeteer': '^1.11.0', 'resolve': '^1.3.3', 'rollup': '^1.0.0', 'rollup-plugin-alias': '^1.3.1', 'rollup-plugin-buble': '^0.19.6', 'rollup-plugin-commonjs': '^9.2.0', 'rollup-plugin-flow-no-whitespace': '^1.0.0', 'rollup-plugin-node-resolve': '^4.0.0', 'rollup-plugin-replace': '^2.0.0', 'selenium-server': '^2.53.1', 'serialize-javascript': '^3.1.0', 'shelljs': '^0.8.1', 'terser': '^3.10.2', 'typescript': '^3.6.4', 'webpack': '~4.28.4', 'weex-js-runtime': '^0.23.6', 'weex-styler': '^0.3.0', 'yorkie': '^2.0.0'}",216752,9292358.333333334,18320.941666666666,35410,0.8281908034185881,0.8414369868040905,0.9970733888666823,['186']
123,debug,4.3.1,small debugging utility,"['debug', 'log', 'debugger']",{'ms': '2.1.2'},"{'brfs': '^2.0.1', 'browserify': '^16.2.3', 'coveralls': '^3.0.2', 'istanbul': '^0.4.5', 'karma': '^3.1.4', 'karma-browserify': '^6.0.0', 'karma-chrome-launcher': '^2.2.0', 'karma-mocha': '^1.3.0', 'mocha': '^5.2.0', 'mocha-lcov-reporter': '^1.2.0', 'xo': '^0.23.0'}",11146,397907693.3333333,1312313.881259513,29508,0.8176883930011646,0.9204994668720634,0.6560319863995477,"['14', '35', '36', '34']"
124,uuid,8.3.2,"RFC4122 (v1, v4, and v5) UUIDs","['uuid', 'guid', 'rfc4122']",,"{'@babel/cli': '7.11.6', '@babel/core': '7.11.6', '@babel/preset-env': '7.11.5', '@commitlint/cli': '11.0.0', '@commitlint/config-conventional': '11.0.0', '@rollup/plugin-node-resolve': '9.0.0', 'babel-eslint': '10.1.0', 'bundlewatch': '0.3.1', 'eslint': '7.10.0', 'eslint-config-prettier': '6.12.0', 'eslint-config-standard': '14.1.1', 'eslint-plugin-import': '2.22.1', 'eslint-plugin-node': '11.1.0', 'eslint-plugin-prettier': '3.1.4', 'eslint-plugin-promise': '4.2.1', 'eslint-plugin-standard': '4.0.1', 'husky': '4.3.0', 'jest': '25.5.4', 'lint-staged': '10.4.0', 'npm-run-all': '4.1.5', 'optional-dev-dependency': '2.0.1', 'prettier': '2.1.2', 'random-seed': '0.3.0', 'rollup': '2.28.2', 'rollup-plugin-terser': '7.0.2', 'runmd': '1.3.2', 'standard-version': '9.0.0'}",11936,189260313.66666666,757490.8933028921,19604,0.8800019535154213,0.9127906024560217,0.9768316180993946,"['171', '123', '172', '120']"
125,core-js,3.10.1,Standard library,"['ES3', 'ES5', 'ES6', 'ES7', 'ES2015', 'ES2016', 'ES2017', 'ES2018', 'ES2019', 'ES2020', 'ECMAScript 3', 'ECMAScript 5', 'ECMAScript 6', 'ECMAScript 7', 'ECMAScript 2015', 'ECMAScript 2016', 'ECMAScript 2017', 'ECMAScript 2018', 'ECMAScript 2019', 'ECMAScript 2020', 'Harmony', 'Strawman', 'Map', 'Set', 'WeakMap', 'WeakSet', 'Promise', 'Observable', 'Symbol', 'TypedArray', 'URL', 'URLSearchParams', 'queueMicrotask', 'setImmediate', 'polyfill', 'ponyfill', 'shim']",,,15898,136985615.0,249433.34952435317,25385,0.8786791261070332,0.9199348748966998,0.9601856646144118,"['187', '188']"
126,async,3.2.0,Higher-order functions and common patterns for asynchronous code,"['async', 'callback', 'module', 'utility']",,"{'babel-core': '^6.26.3', 'babel-eslint': '^8.2.6', 'babel-minify': '^0.5.0', 'babel-plugin-add-module-exports': '^0.2.1', 'babel-plugin-istanbul': '^5.1.4', 'babel-plugin-syntax-async-generators': '^6.13.0', 'babel-plugin-transform-es2015-modules-commonjs': '^6.26.2', 'babel-preset-es2015': '^6.3.13', 'babel-preset-es2017': '^6.22.0', 'babel-register': '^6.26.0', 'babelify': '^8.0.0', 'benchmark': '^2.1.1', 'bluebird': '^3.4.6', 'browserify': '^16.2.3', 'chai': '^4.2.0', 'cheerio': '^0.22.0', 'coveralls': '^3.0.4', 'es6-promise': '^2.3.0', 'eslint': '^6.0.1', 'eslint-plugin-prefer-arrow': '^1.1.5', 'fs-extra': '^0.26.7', 'jsdoc': '^3.6.2', 'karma': '^4.1.0', 'karma-browserify': '^5.3.0', 'karma-edge-launcher': '^0.4.2', 'karma-firefox-launcher': '^1.1.0', 'karma-junit-reporter': '^1.2.0', 'karma-mocha': '^1.2.0', 'karma-mocha-reporter': '^2.2.0', 'karma-safari-launcher': '^1.0.0', 'mocha': '^6.1.4', 'mocha-junit-reporter': '^1.18.0', 'native-promise-only': '^0.8.0-a', 'nyc': '^14.1.1', 'rimraf': '^2.5.0', 'rollup': '^0.63.4', 'rollup-plugin-node-resolve': '^2.0.0', 'rollup-plugin-npm': '^2.0.0', 'rsvp': '^3.0.18', 'semver': '^5.5.0', 'yargs': '^11.0.0'}",31431,157392602.0,451650.5630136987,23800,0.9997829744952641,0.9516866358018776,0.999894531306083,"['189', '190', '191', '192', '193']"
127,bluebird,3.7.2,Full featured Promises/A+ implementation with exceptionally good performance,"['promise', 'performance', 'promises', 'promises-a', 'promises-aplus', 'async', 'await', 'deferred', 'deferreds', 'future', 'flow control', 'dsl', 'fluent interface']",,"{'acorn': '^6.0.2', 'acorn-walk': '^6.1.0', 'baconjs': '^0.7.43', 'bluebird': '^2.9.2', 'body-parser': '^1.10.2', 'browserify': '^8.1.1', 'cli-table': '~0.3.1', 'co': '^4.2.0', 'cross-spawn': '^0.2.3', 'glob': '^4.3.2', 'grunt-saucelabs': '~8.4.1', 'highland': '^2.3.0', 'istanbul': '^0.3.5', 'jshint': '^2.6.0', 'jshint-stylish': '~0.2.0', 'kefir': '^2.4.1', 'mkdirp': '~0.5.0', 'mocha': '~2.1', 'open': '~0.0.5', 'optimist': '~0.6.1', 'rimraf': '~2.2.6', 'rx': '^2.3.25', 'serve-static': '^1.7.1', 'sinon': '~1.7.3', 'uglify-js': '~2.4.16'}",22994,90568746.33333333,171234.12264079158,19600,0.9654687553180948,0.9153361020747486,0.672121158788791,['194']
128,classnames,2.3.1,A simple utility for conditionally joining classNames together,"['react', 'css', 'classes', 'classname', 'classnames', 'util', 'utility']",,"{'benchmark': '^2.1.4', 'browserify': '^17.0.0', 'mocha': '^8.3.2'}",14652,26697504.0,67319.37043378994,18490,0.8448893104859356,0.8386247822782271,0.9999037640920476,"['195', '196']"
129,inquirer,8.0.0,A collection of common interactive command line user interfaces.,"['command', 'prompt', 'stdin', 'cli', 'tty', 'menu']","{'ansi-escapes': '^4.2.1', 'chalk': '^4.1.0', 'cli-cursor': '^3.1.0', 'cli-width': '^3.0.0', 'external-editor': '^3.0.3', 'figures': '^3.0.0', 'lodash': '^4.17.21', 'mute-stream': '0.0.8', 'run-async': '^2.4.0', 'rxjs': '^6.6.6', 'string-width': '^4.1.0', 'strip-ansi': '^6.0.0', 'through': '^2.3.6'}","{'chai': '^4.3.0', 'chalk-pipe': '^5.0.0', 'cmdify': '^0.0.4', 'mocha': '^8.3.0', 'mockery': '^2.1.0', 'nyc': '^15.0.0', 'sinon': '^9.2.4'}",15512,92237804.66666667,98248.15494672756,22767,0.9128603639608909,0.8940888916688599,0.6610000586849987,"['197', '198', '199', '200']"
130,ansi-escapes,4.3.2,ANSI escape codes for manipulating the terminal,"['ansi', 'terminal', 'console', 'cli', 'string', 'tty', 'escape', 'escapes', 'formatting', 'shell', 'xterm', 'log', 'logging', 'command-line', 'text', 'vt100', 'sequence', 'control', 'code', 'codes', 'cursor', 'iterm', 'iterm2']",{'type-fest': '^0.21.3'},"{'@types/node': '^13.7.7', 'ava': '^2.1.0', 'tsd': '^0.14.0', 'xo': '^0.25.3'}",385,104123441.0,229729.91356544907,541,0.7742558622151922,0.632105722026179,0.999894531306083,['13']
131,type-fest,1.0.1,A collection of essential TypeScript types,"['typescript', 'ts', 'types', 'utility', 'util', 'utilities', 'omit', 'merge', 'json']",,"{'@sindresorhus/tsconfig': '~0.7.0', 'expect-type': '^0.11.0', 'tsd': '^0.14.0', 'typescript': '^4.1.3', 'xo': '^0.36.1'}",4709,193022070.0,966664.8790525112,398,0.5399478042605488,0.7253603739205419,0.9217584041155764,['13']
132,chalk,4.1.0,Terminal string styling done right,"['color', 'colour', 'colors', 'terminal', 'console', 'cli', 'string', 'str', 'ansi', 'style', 'styles', 'tty', 'formatting', 'rgb', '256', 'shell', 'xterm', 'log', 'logging', 'command-line', 'text']","{'ansi-styles': '^4.1.0', 'supports-color': '^7.1.0'}","{'ava': '^2.4.0', 'coveralls': '^3.0.7', 'execa': '^4.0.0', 'import-fresh': '^3.1.0', 'matcha': '^0.7.0', 'nyc': '^15.0.0', 'resolve-from': '^5.0.0', 'tsd': '^0.7.4', 'xo': '^0.28.2'}",17627,270704432.0,948333.2457762556,56930,0.8944135914991744,0.9463422859896276,0.999894531306083,"['14', '13']"
133,cli-cursor,3.1.0,Toggle the CLI cursor,"['cli', 'cursor', 'ansi', 'toggle', 'display', 'show', 'hide', 'term', 'terminal', 'console', 'tty', 'shell', 'command-line']",{'restore-cursor': '^3.1.0'},"{'@types/node': '^12.0.7', 'ava': '^2.1.0', 'tsd': '^0.7.2', 'xo': '^0.24.0'}",95,87748980.33333333,180194.54073439876,274,0.9554165595786436,0.570807949106506,0.999894531306083,['13']
134,restore-cursor,3.1.0,Gracefully restore the CLI cursor on exit,"['exit', 'quit', 'process', 'graceful', 'shutdown', 'sigterm', 'sigint', 'terminate', 'kill', 'stop', 'cli', 'cursor', 'ansi', 'show', 'term', 'terminal', 'console', 'tty', 'shell', 'command-line']","{'onetime': '^5.1.0', 'signal-exit': '^3.0.2'}","{'tsd': '^0.7.2', 'xo': '^0.24.0'}",37,89827142.66666667,152895.60148401826,118,0.8405443919475527,0.529547963310881,0.9999405727453268,['13']
135,onetime,6.0.0,Ensure a function is only called once,"['once', 'function', 'one', 'onetime', 'func', 'fn', 'single', 'call', 'called', 'prevent']",{'mimic-fn': '^4.0.0'},"{'ava': '^3.15.0', 'tsd': '^0.14.0', 'xo': '^0.38.2'}",158,120635556.0,301021.0832952815,164,0.8348371147464844,0.5793838172211794,0.999894531306083,['13']
136,mimic-fn,4.0.0,Make a function mimic another one,"['function', 'mimic', 'imitate', 'rename', 'copy', 'inherit', 'properties', 'name', 'func', 'fn', 'set', 'infer', 'change']",,"{'ava': '^3.15.0', 'tsd': '^0.14.0', 'xo': '^0.38.2'}",94,114977392.33333333,257177.10431887372,166,0.8348371147464844,0.566625848046993,0.999894531306083,"['13', '201']"
137,signal-exit,3.0.3,when you want to fire an event no matter how a process exits.,"['signal', 'exit']",,"{'chai': '^3.5.0', 'coveralls': '^2.11.10', 'nyc': '^8.1.0', 'standard': '^8.1.0', 'standard-version': '^2.3.0', 'tap': '^8.0.1'}",184,94001947.66666667,170853.58782343986,387,0.9809346257577729,0.5960791812129664,0.999894531306083,"['202', '104']"
138,cli-width,3.0.0,"Get stdout window width, with two fallbacks, tty and then a default.",,,"{'coveralls': '^3.0.11', 'nyc': '^15.0.1', 'standard-version': '^7.1.0', 'tap-spec': '^5.0.0', 'tape': '^4.13.2'}",37,65764382.0,179087.42193683411,139,0.9452557581690464,0.5282414177158409,0.999894531306083,"['203', '197']"
139,external-editor,3.1.0,Edit a string with the users preferred text editor using $VISUAL or $ENVIRONMENT,"['editor', 'external', 'user', 'visual']","{'chardet': '^0.7.0', 'iconv-lite': '^0.4.24', 'tmp': '^0.0.33'}","{'@types/chai': '^4.1.4', '@types/chardet': '^0.5.0', '@types/mocha': '^5.2.5', '@types/node': '^10.14.12', '@types/tmp': '0.0.33', 'chai': '^4.0.0', 'es6-shim': '^0.35.3', 'mocha': '^5.2.0', 'ts-node': '^7.0.1', 'tslint': '^5.18.0', 'typescript': '^3.5.2'}",54,57511998.666666664,46809.07851978694,124,0.907997948676369,0.5013765902968467,0.999894531306083,['204']
140,chardet,1.3.0,Character encoding detector,"['encoding', 'character', 'utf8', 'detector', 'chardet', 'icu', 'character detection', 'character encoding', 'language', 'iconv', 'iconv-light', 'UTF-8', 'UTF-16', 'UTF-32', 'ISO-2022-JP', 'ISO-2022-KR', 'ISO-2022-CN', 'Shift_JIS', 'Big5', 'EUC-JP', 'EUC-KR', 'GB18030', 'ISO-8859-1', 'ISO-8859-2', 'ISO-8859-5', 'ISO-8859-6', 'ISO-8859-7', 'ISO-8859-8', 'ISO-8859-9', 'windows-1250', 'windows-1251', 'windows-1252', 'windows-1253', 'windows-1254', 'windows-1255', 'windows-1256', 'KOI8-R']",,"{'@types/jest': '^26.0.14', '@types/node': '^14.11.2', '@typescript-eslint/eslint-plugin': '^4.2.0', '@typescript-eslint/parser': '^4.2.0', 'eslint': '^7.9.0', 'jest': '^26.4.2', 'prettier': '^2.1.2', 'semantic-release': '^17.1.2', 'ts-jest': '^26.4.0', 'typescript': '^4.0.3'}",156,55876159.0,81280.44579528156,150,0.9203039165491579,0.5366810262100521,0.999894531306083,['205']
141,tmp,0.2.1,Temporary file and directory creator,"['temporary', 'tmp', 'temp', 'tempdir', 'tempfile', 'tmpdir', 'tmpfile']",{'rimraf': '^3.0.0'},"{'eslint': '^6.3.0', 'eslint-plugin-mocha': '^6.1.1', 'istanbul': '^0.4.5', 'lerna-changelog': '^1.0.1', 'mocha': '^6.2.0'}",788,84209332.0,205309.16286149167,2819,0.8931632996779908,0.711861470146636,0.5748847687749866,['206']
142,rimraf,3.0.2,A deep deletion module for node (like `rm -rf`),,{'glob': '^7.1.3'},"{'mkdirp': '^0.5.1', 'tap': '^12.1.1'}",4766,178110813.66666666,447752.3103120243,10774,0.976578593391807,0.8529585890639748,0.2916764735209386,['104']
143,glob,7.1.6,a little globber,,"{'fs.realpath': '^1.0.0', 'inflight': '^1.0.4', 'inherits': '2', 'minimatch': '^3.0.4', 'once': '^1.3.0', 'path-is-absolute': '^1.0.0'}","{'mkdirp': '0', 'rimraf': '^2.2.8', 'tap': '^12.0.1', 'tick': '0.0.6'}",7754,150321600.33333334,180712.53590182657,17239,0.9520786269126938,0.876788743245568,0.4412441174951339,['104']
144,fs.realpath,1.0.0,"Use node's fs.realpath, but fall back to the JS implementation if the native one fails","['realpath', 'fs', 'polyfill']",,,32,77296854.66666667,179175.02652207017,219,0.8179011286168503,0.5431458859027263,0.9998651952945008,['104']
145,inflight,1.0.6,Add callbacks to requests in flight to avoid async duplication,,"{'once': '^1.3.0', 'wrappy': '1'}",{'tap': '^7.1.2'},107,87643875.0,205242.64088660572,263,0.8730118181309146,0.5737632497679375,0.9998651952945008,"['207', '208', '104', '209', '200', '109']"
146,once,1.4.0,Run a function exactly one time,"['once', 'function', 'one', 'single']",{'wrappy': '1'},{'tap': '^7.0.1'},274,113524854.0,357921.4835996956,1067,0.8696233385051158,0.6552057528375133,0.999894531306083,['104']
147,wrappy,1.0.2,Callback wrapping utility,,,{'tap': '^2.3.1'},106,109647781.0,290327.74267503794,276,0.8716166576501501,0.5842223249725119,0.9998651952945008,['104']
148,minimatch,3.0.4,a glob matcher in javascript,,{'brace-expansion': '^1.1.7'},{'tap': '^10.3.2'},2696,90886745.66666667,159687.41548706242,4064,0.9483748825832548,0.7687822866984421,0.17919569290709655,['104']
149,brace-expansion,2.0.1,Brace expansion as known from sh/bash,,{'balanced-match': '^1.0.0'},"{'@c4312/matcha': '^1.3.1', 'tape': '^4.6.0'}",193,79999622.66666667,169573.44469178084,247,0.9482753241719206,0.57912676240636,0.999894531306083,"['118', '104']"
150,balanced-match,2.0.0,"Match balanced character pairs, like ""{"" and ""}""","['match', 'regexp', 'test', 'balanced', 'parse']",,"{'@c4312/matcha': '^1.3.1', 'np': '^7.4.0', 'prettier-standard': '^16.4.1', 'standard': '^16.0.3', 'tape': '^4.6.0'}",142,97191182.33333333,176680.10302511416,299,0.9411143286779131,0.5834532921739082,0.9999074745402705,['118']
151,path-is-absolute,2.0.0,Node.js 0.12 path.isAbsolute() ponyfill,"['path', 'paths', 'file', 'dir', 'absolute', 'isabsolute', 'is-absolute', 'built-in', 'util', 'utils', 'core', 'ponyfill', 'polyfill', 'shim', 'is', 'detect', 'check']",,{'xo': '^0.16.0'},59,86420547.0,249520.73143074592,596,0.5803561122886093,0.5924408124878984,0.5,['13']
